line,destination,direction,time
R-2,R02,1,362
R-1,R28,0,364
R-1,R28,0,370
R-2,R02,1,372
R-2,R02,1,376
R-1,R28,0,378
R-2,R02,1,381
R-1,R28,0,385
R-2,R02,1,388
R-2,R02,1,390
R-1,R28,0,393
R-2,R02,1,394
R-1,R02,1,399
R-1,R28,0,402
R-1,R28,0,408
R-1,R02,1,409
R-1,R28,0,415
R-1,R02,1,417
R-1,R28,0,424
R-1,R02,1,426
R-1,R28,0,434
R-1,R02,1,435
R-1,R28,0,442
R-1,R02,1,446
R-2,R22,0,446
R-1,R28,0,450
R-1,R02,1,456
R-1,R28,0,460
R-1,R02,1,466
R-1,R28,0,469
R-1,R02,1,475
R-1,R28,0,478
R-1,R02,1,485
R-1,R28,0,488
R-1,R02,1,495
R-1,R28,0,497
R-1,R02,1,504
R-1,R28,0,507
R-1,R02,1,514
R-1,R28,0,516
R-1,R02,1,523
R-1,R28,0,525
R-1,R02,1,533
R-1,R28,0,535
R-1,R02,1,542
R-1,R28,0,545
R-1,R02,1,552
R-1,R28,0,554
R-1,R02,1,561
R-1,R28,0,564
R-1,R02,1,571
R-1,R28,0,573
R-1,R02,1,580
R-1,R28,0,583
R-1,R02,1,590
R-1,R28,0,592
R-1,R02,1,599
R-1,R28,0,602
R-1,R02,1,609
R-1,R28,0,611
R-1,R02,1,618
R-1,R28,0,621
R-1,R02,1,628
R-1,R28,0,630
R-1,R02,1,637
R-1,R28,0,640
R-1,R02,1,645
R-1,R28,0,648
R-1,R02,1,653
R-1,R28,0,656
R-1,R02,1,662
R-1,R28,0,664
R-1,R02,1,670
R-1,R28,0,672
R-1,R02,1,678
R-1,R28,0,680
R-1,R02,1,686
R-1,R28,0,689
R-1,R02,1,694
R-1,R28,0,697
R-1,R02,1,702
R-1,R28,0,705
R-1,R02,1,711
R-1,R28,0,713
R-1,R02,1,719
R-1,R28,0,721
R-2,R02,1,723
R-2,R22,0,725
R-1,R02,1,727
R-1,R28,0,729
R-2,R02,1,731
R-2,R22,0,734
R-1,R02,1,735
R-1,R28,0,738
R-2,R02,1,739
R-2,R22,0,742
R-1,R02,1,743
R-1,R28,0,746
R-2,R02,1,747
R-2,R22,0,750
R-1,R02,1,751
R-1,R28,0,754
R-2,R02,1,755
R-2,R22,0,758
R-1,R02,1,760
R-1,R28,0,762
R-2,R02,1,764
R-2,R22,0,766
R-1,R02,1,768
R-1,R28,0,770
R-2,R02,1,772
R-2,R22,0,774
R-1,R02,1,776
R-1,R28,0,778
R-2,R02,1,780
R-2,R22,0,783
R-1,R02,1,784
R-1,R28,0,787
R-2,R02,1,788
R-2,R22,0,791
R-1,R02,1,792
R-1,R28,0,795
R-2,R02,1,796
R-2,R22,0,799
R-1,R02,1,800
R-1,R28,0,803
R-2,R02,1,804
R-2,R22,0,807
R-1,R02,1,809
R-1,R28,0,811
R-2,R02,1,813
R-2,R22,0,815
R-1,R02,1,817
R-1,R28,0,819
R-2,R02,1,821
R-2,R22,0,823
R-1,R02,1,825
R-1,R28,0,827
R-2,R02,1,829
R-2,R22,0,832
R-1,R02,1,833
R-1,R28,0,836
R-2,R02,1,837
R-2,R22,0,840
R-1,R02,1,841
R-1,R28,0,844
R-2,R02,1,845
R-2,R22,0,848
R-1,R02,1,849
R-1,R28,0,852
R-2,R02,1,853
R-2,R22,0,856
R-1,R02,1,858
R-1,R28,0,860
R-2,R02,1,862
R-2,R22,0,864
R-1,R02,1,866
R-1,R28,0,868
R-2,R02,1,870
R-2,R22,0,872
R-1,R02,1,874
R-1,R28,0,876
R-2,R02,1,878
R-2,R22,0,881
R-1,R02,1,882
R-1,R28,0,885
R-2,R02,1,886
R-2,R22,0,889
R-1,R02,1,890
R-1,R28,0,893
R-2,R02,1,894
R-2,R22,0,897
R-1,R02,1,898
R-1,R28,0,901
R-2,R02,1,902
R-2,R22,0,905
R-1,R02,1,907
R-1,R28,0,909
R-2,R02,1,911
R-2,R22,0,913
R-1,R02,1,915
R-1,R28,0,917
R-2,R02,1,919
R-2,R22,0,921
R-1,R02,1,923
R-1,R28,0,925
R-2,R02,1,927
R-2,R22,0,930
