line,destination,direction,time
R-1,R28,0,360
R-2,R01,1,365
R-1,R28,0,366
R-1,R28,0,374
R-2,R01,1,375
R-1,R28,0,380
R-2,R01,1,380
R-2,R01,1,387
R-1,R28,0,389
R-2,R01,1,392
R-2,R01,1,395
R-1,R28,0,398
R-2,R01,1,399
R-2,R01,1,403
R-1,R28,0,405
R-1,R28,0,412
R-2,R01,1,413
R-1,R28,0,420
R-2,R01,1,422
R-1,R28,0,430
R-2,R01,1,430
R-1,R28,0,438
R-2,R01,1,440
R-2,R22,0,442
R-1,R28,0,446
R-2,R01,1,449
R-1,R28,0,455
R-2,R01,1,459
R-1,R28,0,465
R-2,R01,1,470
R-1,R28,0,472
R-2,R01,1,478
R-1,R28,0,481
R-2,R01,1,486
R-1,R28,0,489
R-2,R01,1,495
R-1,R28,0,497
R-2,R01,1,503
R-1,R28,0,505
R-2,R01,1,511
R-1,R28,0,513
R-2,R01,1,519
R-1,R28,0,521
R-2,R01,1,527
R-1,R28,0,530
R-2,R01,1,535
R-1,R28,0,538
R-2,R01,1,544
R-1,R28,0,546
R-2,R01,1,552
R-1,R28,0,554
R-2,R01,1,560
R-1,R28,0,562
R-2,R01,1,568
R-1,R28,0,570
R-2,R01,1,576
R-1,R28,0,579
R-2,R01,1,584
R-1,R28,0,587
R-2,R01,1,593
R-1,R28,0,595
R-2,R01,1,601
R-1,R28,0,603
R-2,R01,1,609
R-1,R28,0,611
R-2,R01,1,617
R-1,R28,0,619
R-2,R01,1,625
R-1,R28,0,628
R-2,R01,1,633
R-1,R28,0,636
R-2,R01,1,642
R-1,R28,0,644
R-2,R01,1,650
R-1,R28,0,652
R-2,R01,1,658
R-1,R28,0,660
R-2,R01,1,666
R-1,R28,0,668
R-2,R01,1,674
R-1,R28,0,677
R-2,R01,1,682
R-1,R28,0,685
R-2,R01,1,691
R-1,R28,0,693
R-2,R01,1,699
R-1,R28,0,701
R-2,R01,1,707
R-1,R28,0,709
R-2,R01,1,712
R-2,R01,1,716
R-1,R28,0,717
R-2,R01,1,719
R-2,R22,0,722
R-2,R01,1,723
R-1,R28,0,726
R-2,R01,1,727
R-2,R22,0,730
R-2,R01,1,731
R-1,R28,0,734
R-2,R01,1,736
R-2,R22,0,738
R-2,R01,1,740
R-1,R28,0,742
R-2,R01,1,744
R-2,R22,0,746
R-2,R01,1,748
R-1,R28,0,750
R-2,R01,1,752
R-2,R22,0,754
R-2,R01,1,756
R-1,R28,0,758
R-2,R01,1,760
R-2,R22,0,762
R-2,R01,1,764
R-1,R28,0,766
R-2,R01,1,768
R-2,R22,0,771
R-2,R01,1,772
R-1,R28,0,775
R-2,R01,1,776
R-2,R22,0,779
R-2,R01,1,780
R-1,R28,0,783
R-2,R01,1,785
R-2,R22,0,787
R-2,R01,1,789
R-1,R28,0,791
R-2,R01,1,793
R-2,R22,0,795
R-2,R01,1,797
R-1,R28,0,799
R-2,R01,1,801
R-2,R22,0,803
