line,destination,direction,abs_time
Y-1,Y20,0,360
Y-2,Y07,1,361
Y-1,Y20,0,366
Y-2,Y07,1,369
Y-1,Y20,0,376
Y-2,Y07,1,378
Y-1,Y20,0,383
Y-2,Y07,1,386
Y-2,Y07,1,391
Y-1,Y20,0,393
Y-2,Y07,1,398
Y-1,Y20,0,401
Y-2,Y07,1,407
Y-1,Y20,0,408
Y-2,Y07,1,415
Y-1,Y20,0,416
Y-1,Y20,0,425
Y-2,Y07,1,425
Y-1,Y20,0,435
Y-2,Y07,1,435
Y-1,Y20,0,445
Y-2,Y07,1,445
Y-2,Y07,1,455
Y-1,Y20,0,456
Y-2,Y07,1,465
Y-1,Y20,0,466
Y-2,Y07,1,475
Y-1,Y20,0,476
Y-1,Y20,0,486
Y-2,Y07,1,486
Y-2,Y07,1,496
Y-1,Y20,0,497
Y-1,Y20,0,506
Y-2,Y07,1,506
Y-1,Y20,0,516
Y-2,Y07,1,516
Y-1,Y20,0,526
Y-2,Y07,1,526
Y-1,Y20,0,536
Y-2,Y07,1,536
Y-1,Y20,0,546
Y-2,Y07,1,546
Y-1,Y20,0,555
Y-2,Y07,1,556
Y-1,Y20,0,564
Y-2,Y07,1,566
Y-1,Y20,0,572
Y-2,Y07,1,576
Y-1,Y20,0,580
Y-2,Y07,1,585
Y-1,Y20,0,587
Y-1,Y20,0,594
Y-2,Y07,1,594
Y-2,Y07,1,601
Y-1,Y20,0,602
Y-1,Y20,0,609
Y-2,Y07,1,609
Y-2,Y07,1,616
Y-1,Y20,0,617
Y-1,Y20,0,624
Y-2,Y07,1,624
Y-2,Y07,1,631
Y-1,Y20,0,632
Y-1,Y20,0,639
Y-2,Y07,1,639
Y-2,Y07,1,646
Y-1,Y20,0,647
Y-1,Y20,0,654
Y-2,Y07,1,654
Y-2,Y07,1,661
Y-1,Y20,0,662
Y-1,Y20,0,669
Y-2,Y07,1,669
Y-2,Y07,1,676
Y-1,Y20,0,677
Y-1,Y20,0,684
Y-2,Y07,1,684
Y-2,Y07,1,691
Y-1,Y20,0,692
Y-1,Y20,0,699
Y-2,Y07,1,699
Y-2,Y07,1,706
Y-1,Y20,0,707
Y-1,Y20,0,714
Y-2,Y07,1,714
Y-2,Y07,1,721
Y-1,Y20,0,722
Y-1,Y20,0,729
Y-2,Y07,1,729
Y-2,Y07,1,736
Y-1,Y20,0,737
Y-1,Y20,0,744
Y-2,Y07,1,744
Y-2,Y07,1,751
Y-1,Y20,0,752
Y-1,Y20,0,759
Y-2,Y07,1,759
Y-2,Y07,1,766
Y-1,Y20,0,767
Y-1,Y20,0,774
Y-2,Y07,1,774
Y-2,Y07,1,781
Y-1,Y20,0,782
Y-1,Y20,0,789
Y-2,Y07,1,789
Y-2,Y07,1,796
Y-1,Y20,0,797
Y-1,Y20,0,804
Y-2,Y07,1,804
Y-2,Y07,1,811
Y-1,Y20,0,812
Y-1,Y20,0,819
Y-2,Y07,1,819
Y-2,Y07,1,826
Y-1,Y20,0,827
Y-1,Y20,0,834
Y-2,Y07,1,834
Y-2,Y07,1,841
Y-1,Y20,0,842
Y-1,Y20,0,849
Y-2,Y07,1,849
Y-2,Y07,1,856
Y-1,Y20,0,857
Y-1,Y20,0,864
Y-2,Y07,1,864
Y-2,Y07,1,871
Y-1,Y20,0,872
Y-1,Y20,0,879
Y-2,Y07,1,879
Y-2,Y07,1,886
Y-1,Y20,0,887
Y-1,Y20,0,894
Y-2,Y07,1,894
Y-2,Y07,1,901
Y-1,Y20,0,902
Y-1,Y20,0,909
Y-2,Y07,1,909
Y-2,Y07,1,916
Y-1,Y20,0,917
Y-1,Y20,0,924
Y-2,Y07,1,924
Y-2,Y07,1,931
Y-1,Y20,0,932
Y-1,Y20,0,939
Y-2,Y07,1,939
Y-2,Y07,1,946
Y-1,Y20,0,947
Y-1,Y20,0,954
Y-2,Y07,1,954
Y-2,Y07,1,961
Y-1,Y20,0,962
Y-1,Y20,0,969
Y-2,Y07,1,969
Y-2,Y07,1,976
Y-1,Y20,0,977
Y-1,Y20,0,984
Y-2,Y07,1,984
Y-2,Y07,1,991
Y-1,Y20,0,992
Y-1,Y20,0,999
Y-2,Y07,1,999
Y-2,Y07,1,1006
Y-1,Y20,0,1007
